Posição,Faixa (raw),Dias ,Streams
1,"PEDRO SAMPAIO - JETSKI (w/ MC Meno K, Melody)",61,"1,430,054"
2,"DJ Japa NK - Posso Até Não Te Dar Flores (w/ MC Meno K, MC Ryan SP, Mc Jacare?, DJ DAVI DOGDOG)",152,"1,275,548"
3,Grupo Menos É Mais - P do Pecado - Ao Vivo (w/ Simone Mendes),293,"1,031,835"
4,DJ Japa NK - Amo Minha Favela (w/ MC Meno K),67,"1,027,728"
5,Panda - Eu Te Seguro - Ao Vivo (w/ MJ Records),151,"1,019,639"
6,Vitinho Imperador - Eu Me Apaixonei,182,"1,001,975"
7,"Mc Jacare? - Carnívoro (w/ Mc Negão Original, Mc Lele JP, DJ Japa NK)",25,"912,783"
8,Grupo Menos É Mais - Pela Última Vez - Ao Vivo (w/ NATTAN),180,"837,466"
9,"PEDRO SAMPAIO - SEQUÊNCIA FEITICEIRA (w/ Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito)",170,"814,281"
10,"Panda - Calcinha de Renda - Ao Vivo (w/ Gusttavo Lima, MJ Records)",82,"769,391"
11,"Mari Fernandez - Saudade do Carai (w/ Grelo, Natanzinho Lima)",89,"765,922"
12,"Léo Santana - Desliza (""Ólhinho"" No Corpinho) (w/ Melody)",199,"754,577"
13,"MC GP - ME POSTOU NO DAILY - FESTA DO BIG G (w/ Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat)",143,"754,561"
14,"DJ Japa NK - Gauchinha (w/ MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY)",60,"737,067"
15,"DJ Oreia - Diário de um Cafajeste (w/ Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original)",99,"736,816"
16,"DJ Gu - Reliquia do 2T (w/ MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte)",7,"682,174"
17,MC Tuto - Faz Parte De Mim (w/ DJ Oreia),11,"667,379"
18,"Luan Pereira - NUNCA ESQUECIDO - Ao Vivo (w/ Léo Foguete, Mc Don Juan)",26,"667,234"
19,"Anitta - GOSTOSIN (w/ Felipe Amorim, HITMAKER)",74,"664,799"
20,"DJ Japa NK - SET DO JAPA NK 2.0 (w/ MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacare?, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam)",89,"657,226"
21,Murilo Huff - Deixa Eu - Ao Vivo,187,"653,269"
22,Gusttavo Lima - Vagabundo (w/ Luis Fonsi),131,"648,618"
23,Danilo e Davi - Não Mexe nas Minhas Gavetas - Ao Vivo,19,"622,714"
24,"Mc Lele JP - Vai Tomando Pock Pock (w/ MC Leozinho ZS, MC GH Original, MC Menor ZL, MC Meno K, DJ GORDINHO DA VF)",134,"589,016"
25,Diego & Victor Hugo - Tubarões - Ao Vivo,369,"585,948"
26,Gusttavo Lima - Pelo Bem da Minha Saudade,188,"567,607"
27,Turma do Pagode - Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo) (w/ Grupo Menos É Mais),620,"553,73"
28,"Mayke & Rodrigo - Bebe, Beija e Trai - Ao Vivo (w/ Panda)",79,"551,361"
29,Henrique & Juliano - Última Saudade - Ao Vivo,509,"537,039"
30,Marina Sena - CARNAVAL (w/ Psirico),24,"531,111"
31,Grupo Menos É Mais - Coração Partido (Corazón Partío) - Ao Vivo,535,"524,952"
32,Felipe e Rodrigo - Ignora (Ao Vivo),75,"522,654"
33,"Panda - Baqueado - Ao Vivo (w/ Ícaro e Gilmar, MJ Records)",317,"517,386"
34,Matheus & Kauan - Ilusão De Ótica - Ao Vivo (w/ Ana Castela),390,"511,877"
35,Luan Santana - OLHO MARROM - Ao Vivo em Lisboa,145,"510,201"
36,"Dj Luan Gomes - PEGA A MALDADE DA BANDIDA (w/ Mc Ws da leste, Delleon, Tropa da W&S)",17,"508,472"
37,Danilo e Davi - Apaga Apaga Apaga - Ao Vivo,463,"504,16"
38,"Rafa e Junior - Ama Um Maloqueiro (w/ Hugo & Guilherme, DJ Ari SL)",270,"501,779"
39,MC Tuto - 2026 (w/ DJ Oreia),56,"499,313"
40,Léo Santana - Marquinha De Fitinha - Ao Vivo,15,"495,788"
41,"AgroPlay - Era Sol Que Me Faltava (w/ Ana Castela, CountryBeat)",63,"479,181"
42,Júnior e Cézar - Cheiro De Culpado - Ao Vivo,95,"477,268"
43,"Dj Caio Vieira - FAMOSINHA (w/ MC Meno K, Mc Rodrigo do CN)",279,"460,906"
44,Yasmin Sensação - Fanatismo,67,"454,172"
45,Mc Lele JP - Toma Gostosona (w/ DJ Guh Mix),110,"450,196"
46,Jorge & Mateus - Gaivota (w/ Matheus & Kauan),12,"405,368"
47,Henrique & Juliano - Saudade De Quem Eu Sou - Ao Vivo,341,"392,583"
48,"Panda - 12 Horas / Pra Você Acreditar - Ao Vivo (w/ Humberto & Ronaldo, Ícaro e Gilmar, MJ Records)",317,"389,835"
49,NATTAN - Eu Tô Querendo De Novo - Ao Vivo (w/ Anitta),33,"382,895"
50,Bad Bunny - DtMF,66,"380,179"
