posicao,musica,artista,dias_na_lista,total_plays,data_coleta
1, JETSKI ,PEDRO SAMPAIO ,61,1430054,"terça-feira, 17 de fevereiro de 2026"
2, Posso Até Não Te Dar Flores ,DJ Japa NK ,152,1275548,"terça-feira, 17 de fevereiro de 2026"
3, P do Pecado,Grupo Menos É Mais ,293,1031835,"terça-feira, 17 de fevereiro de 2026"
4, Amo Minha Favela ,DJ Japa NK ,67,1027728,"terça-feira, 17 de fevereiro de 2026"
5, Eu Te Seguro,Panda ,151,1019639,"terça-feira, 17 de fevereiro de 2026"
6, Eu Me Apaixonei,Vitinho Imperador ,182,1001975,"terça-feira, 17 de fevereiro de 2026"
7, Carnívoro ,Mc Jacaré ,25,912783,"terça-feira, 17 de fevereiro de 2026"
8, Pela Última Vez,Grupo Menos É Mais ,180,837466,"terça-feira, 17 de fevereiro de 2026"
9, SEQUÊNCIA FEITICEIRA ,PEDRO SAMPAIO ,170,814281,"terça-feira, 17 de fevereiro de 2026"
10, Calcinha de Renda,Panda ,82,769391,"terça-feira, 17 de fevereiro de 2026"
11, Saudade do Carai ,Mari Fernandez ,89,765922,"terça-feira, 17 de fevereiro de 2026"
12, Desliza,Léo Santana ,199,754577,"terça-feira, 17 de fevereiro de 2026"
13, ME POSTOU NO DAILY,MC GP ,143,754561,"terça-feira, 17 de fevereiro de 2026"
14, Gauchinha ,DJ Japa NK ,60,737067,"terça-feira, 17 de fevereiro de 2026"
15, Diário de um Cafajeste ,DJ Oreia ,99,736816,"terça-feira, 17 de fevereiro de 2026"
16, Reliquia do 2T ,DJ Gu ,7,682174,"terça-feira, 17 de fevereiro de 2026"
17, Faz Parte De Mim ,MC Tuto ,11,667379,"terça-feira, 17 de fevereiro de 2026"
18, NUNCA ESQUECIDO,Luan Pereira ,26,667234,"terça-feira, 17 de fevereiro de 2026"
19, GOSTOSIN ,Anitta ,74,664799,"terça-feira, 17 de fevereiro de 2026"
20, SET DO JAPA NK 2.0 ,DJ Japa NK ,89,657226,"terça-feira, 17 de fevereiro de 2026"
21, Deixa Eu,Murilo Huff ,187,653269,"terça-feira, 17 de fevereiro de 2026"
22, Vagabundo ,Gusttavo Lima ,131,648618,"terça-feira, 17 de fevereiro de 2026"
23, Não Mexe nas Minhas Gavetas,Danilo e Davi ,19,622714,"terça-feira, 17 de fevereiro de 2026"
24, Vai Tomando Pock Pock ,Mc Lele JP ,134,589016,"terça-feira, 17 de fevereiro de 2026"
25, Tubarões,Diego & Victor Hugo ,369,585948,"terça-feira, 17 de fevereiro de 2026"
26, Pelo Bem da Minha Saudade,Gusttavo Lima ,188,567607,"terça-feira, 17 de fevereiro de 2026"
27, Bebe e Vem Me Procurar / Quem Ama Sente Saudade,Turma do Pagode ,620,55373,"terça-feira, 17 de fevereiro de 2026"
28," Bebe, Beija e Trai",Mayke & Rodrigo ,79,551361,"terça-feira, 17 de fevereiro de 2026"
29, Última Saudade,Henrique & Juliano ,509,537039,"terça-feira, 17 de fevereiro de 2026"
30, CARNAVAL ,Marina Sena ,24,531111,"terça-feira, 17 de fevereiro de 2026"
31, Coração Partido,Grupo Menos É Mais ,535,524952,"terça-feira, 17 de fevereiro de 2026"
32, Ignora,Felipe e Rodrigo ,75,522654,"terça-feira, 17 de fevereiro de 2026"
33, Baqueado,Panda ,317,517386,"terça-feira, 17 de fevereiro de 2026"
34, Ilusão De Ótica,Matheus & Kauan ,390,511877,"terça-feira, 17 de fevereiro de 2026"
35, OLHO MARROM,Luan Santana ,145,510201,"terça-feira, 17 de fevereiro de 2026"
36, PEGA A MALDADE DA BANDIDA ,Dj Luan Gomes ,17,508472,"terça-feira, 17 de fevereiro de 2026"
37, Apaga Apaga Apaga,Danilo e Davi ,463,50416,"terça-feira, 17 de fevereiro de 2026"
38, Ama Um Maloqueiro ,Rafa e Junior ,270,501779,"terça-feira, 17 de fevereiro de 2026"
39,2026,MC Tuto ,56,499313,"terça-feira, 17 de fevereiro de 2026"
40, Marquinha De Fitinha,Léo Santana ,15,495788,"terça-feira, 17 de fevereiro de 2026"
41, Era Sol Que Me Faltava ,AgroPlay ,63,479181,"terça-feira, 17 de fevereiro de 2026"
42, Cheiro De Culpado,Júnior e Cézar ,95,477268,"terça-feira, 17 de fevereiro de 2026"
43, FAMOSINHA ,Dj Caio Vieira ,279,460906,"terça-feira, 17 de fevereiro de 2026"
44, Fanatismo,Yasmin Sensação ,67,454172,"terça-feira, 17 de fevereiro de 2026"
45, Toma Gostosona ,Mc Lele JP ,110,450196,"terça-feira, 17 de fevereiro de 2026"
46, Gaivota ,Jorge & Mateus ,12,405368,"terça-feira, 17 de fevereiro de 2026"
47, Saudade De Quem Eu Sou,Henrique & Juliano ,341,392583,"terça-feira, 17 de fevereiro de 2026"
48, 12 Horas / Pra Você Acreditar,Panda ,317,389835,"terça-feira, 17 de fevereiro de 2026"
49, Eu Tô Querendo De Novo,NATTAN ,33,382895,"terça-feira, 17 de fevereiro de 2026"
50, DtMF,Bad Bunny ,66,380179,"terça-feira, 17 de fevereiro de 2026"
